Model,DPO3032
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.4,
Sample Interval,0.004,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,-0.02,2.578
Vertical Scale,2,0.5
Label,IN,OUT
TIME,CH1,CH2
9.920e-01,4.7,2.948
9.960e-01,4.7,2.948
1.000e+00,4.7,2.948
1.004e+00,4.62,2.948
1.008e+00,4.62,2.908
1.012e+00,4.7,2.948
1.016e+00,4.7,2.988
1.020e+00,4.62,2.948
1.024e+00,4.7,2.968
1.028e+00,4.7,2.988
1.032e+00,4.7,2.968
1.036e+00,4.62,2.968
1.040e+00,4.7,2.928
1.044e+00,4.7,2.968
1.048e+00,4.7,3.008
1.052e+00,4.78,2.948
1.056e+00,4.7,2.928
1.060e+00,4.7,2.948
1.064e+00,4.7,2.948
1.068e+00,4.7,2.928
1.072e+00,4.78,2.948
1.076e+00,4.78,2.968
1.080e+00,4.62,2.928
1.084e+00,4.7,2.928
1.088e+00,4.78,2.948
1.092e+00,4.62,2.968
1.096e+00,4.62,2.988
1.100e+00,4.7,2.948
1.104e+00,-0.02,2.908
1.108e+00,-0.1,2.948
1.112e+00,-0.1,2.948
1.116e+00,-0.02,2.948
1.120e+00,-0.02,2.948
1.124e+00,-0.02,2.948
1.128e+00,0.06,2.948
1.132e+00,0.06,2.888
1.136e+00,-0.1,2.968
1.140e+00,-0.02,2.948
1.144e+00,-0.1,2.928
1.148e+00,-0.02,2.928
1.152e+00,-0.02,2.888
1.156e+00,-0.02,2.948
1.160e+00,-0.02,2.928
1.164e+00,-0.02,2.888
1.168e+00,-0.02,2.928
1.172e+00,-0.02,2.948
1.176e+00,-0.02,2.928
1.180e+00,-0.02,2.908
1.184e+00,0.06,2.908
1.188e+00,-0.02,2.888
